eventid,year,month,day,country_txt,region_txt,provstate,city,latitude,longitude,location,summary,alternative,alternative_txt,success,suicide,attacktype1_txt,attacktype2,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2,natlty2_txt,guncertain3,individual,nperps,weaptype1_txt
24,1970,7,3,United States,North America,New York,New York City,40.697132,-73.931351,Manhattan,"7/3/1970: Unknown perpetrators placed a bomb outside of the apartment of New York State Supreme Court Justice Jawn A. Sandifer in Manhattan, New York, United States.  The bomb was discovered inside a shopping bag at the door of the apartment by a maintenance employee and subsequently dismantled by the bomb squad.  Justice Sandifer and his family were vacationing in New Jersey at the time of the incident.",2,Other Crime Type,0,0,Bombing/Explosion,,Private Citizens & Property,House/Apartment/Residence,,Apartment of Justice Jawn A. Sandifer,United States,White extremists,,,Explosives,14,Time Fuse,"One by twelve inch pipe bomb, a bottle of gasoline and a timing device in a cardboard box"
25,1970,7,4,United States,North America,Texas,Longview,32.50064,-94.741075,Underneath buses on the outside rows,"7/4/1970: Fred Loyd Hayes and Kenneth Ray McMaster placed twenty seven nitroglycerine explosives underneath buses stationed at the Longview school district maintenance yard in Longview, Texas, United States.  Attached to a common detonator, the bombs exploded simultaneously, damaging a total of thirty three buses at a cost of around $100,000.  There were no casualties.  Hayes and McMaster carried out the bombing to prevent the busing of African Americans to recently desegregated schools.",,,1,0,Bombing/Explosion,,Educational Institution,Other Personnel,Longview Texas School District,School buses of the Longview Texas School District,United States,White extremists,,To prevent the busing of African American students to the desegregated school in the Longview School District,Explosives,14,Time Fuse,Twenty seven nitroglycerine charges attached to a common detonator
26,1970,7,11,United States,North America,Massachusetts,New Bedford,41.637675,-70.930869,Around Kempton Street,"7/11/1970: Unknown White perpetrators fired shotgun blasts indiscriminately into a crowd of African American youths in New Bedford, Massachusetts, United States.  Lester Lima was killed and Kim Holland, Randall Robinson, and Gordon Ribiro were wounded.  This attack sparked widespread rioting by the African American community of New Bedford.",2,Other Crime Type,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,African Americans,African Americans in New Bedford Massachusetts,United States,White extremists,,Intimidate the African American community of New Bedford Massachusetts.,Firearms,4,Rifle/Shotgun (non-automatic),Shotgun blasts were fired in rapid succession.
27,1970,7,16,United States,North America,Illinois,Chicago,41.842602,-87.681229,,"7/16/1970: The offices of the Southeast Community Organization of Chicago, Illinois, United States were firebombed by unknown perpetrators.  There were no casualties and it is unknown if the building sustained any damages.  This incident took place two days after the Tri-City Human Relations Council building in Chicago was firebombed.",,,1,0,Facility/Infrastructure Attack,,NGO,Domestic NGO,,Southeast Community Organization,United States,White extremists,,,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb
28,1970,7,31,United States,North America,North Carolina,Charlotte,35.2225,-80.837539,,"7/31/1970: Unknown perpetrators fired shotgun blasts at the house of the first African American family to move into a White neighborhood in Charlotte,North Carolina, United States.  There were no casualties but it is uknown if the house was damaged.",2,Other Crime Type,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,White house in Black neighborhood,Home of Mr. & Mrs. Franklin Williams,United States,White extremists,,To scare the African American family into leaving neighborhood and to intimidate future African American families from moving into the neighborhood.,Firearms,4,Rifle/Shotgun (non-automatic),
29,1970,8,10,United States,North America,Oregon,Portland,45.511795,-122.675629,,"8/10/1970: Four members of the White Panthers Party threw three firebombs through the windows of Oregon's Selective Service Headquarters in Portland, United States.  There were no casualties but the resulting fire caused around $1,000 of damage to furniture within two offices.",,,1,0,Facility/Infrastructure Attack,,Government (General),Government Building/Facility/Office,Selective Service,"Selective Service Headquarters, Portland Oregon",United States,White Panther Party,,Protest and sabotage the draft,Incendiary,19,Molotov Cocktail/Petrol Bomb,Three Molotov cocktails consisting of wine bottles and gasoline
30,1970,8,15,United States,North America,Mississippi,West Point,33.60651,-88.650419,Parking lot of a West Point grocery store,"8/15/1970: John Thomas was shot to death in his car in West Point, Mississippi, United States.  Thomas was a civil rights activist who previously led the campaign of a Black mayoral candidate.  The shooter, Seth Stanley, a White male, was found not guilty by means of self defense by an all-White jury.",2,Other Crime Type,1,0,Assassination,,Private Citizens & Property,Named Civilian,,John Thomas,United States,White extremists,,,Firearms,5,Unknown Gun Type,
31,1970,8,28,United States,North America,North Carolina,Rocky Mount,35.948199,-77.795207,Outside of the G.W. Bullick School,"8/28/1970: Two explosive charges were set off at the G. W. Bullick School in Rocky Mount, North Carolina, United States.  The school was scheduled to be integrated.  There were no casualties in the attack and the school sustained minor damage.",,,1,0,Bombing/Explosion,,Educational Institution,School/University/Educational Building,School,G. W. Bullick School,United States,White extremists,,To prevent the school from desegregating.,Explosives,28,Dynamite/TNT,The explosives were suspected of being dynamite.  They went off moments apart.
32,1970,10,1,United States,North America,Maryland,Baltimore,39.308342,-76.616104,,"10/1/1970: Unknown perpetrators firebombed the campaign headquarters of Parren Mitchell in Baltimore, Maryland, United States.  Mitchell was running in a contentious campaign, attempting to become the first African American Congressman from the state of Maryland.  The were no casualties and the resulting fire caused only minor damages.",,,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Political Party Member/Rally,Campaign Headquarters of African American Congressional Candidate,Campaign Headquarters of Parren Mitchell,United States,White extremists,,To protest an African American Congressman representing the state of Maryland,Incendiary,18,Arson/Fire,Flammable liquid thrown through front door of building
33,1970,10,2,United States,North America,Maryland,Glen Burnie,39.162608,-76.624689,Cinder Cove Road,"10/2/1970: Four teenagers, who were members of a Neo-Nazi group, threw four Molotov cocktails and dropped metal grates down a seventy-five foot shaft at a Sewage Pumping Station in Anne Arundel, Maryland, United States.  There were no casualties, but the station sustained $2,000 in damages.  The perpetrators attempted to provoke a racial conflict hoping that the incident would be blamed on African Americans.",,,1,0,Facility/Infrastructure Attack,,Food or Water Supply,Water Supply,Sewage Plant,Sewage Plant in Anne Arundel Maryland,United States,Neo-Nazi extremists,,To have the incident blamed on African American and cause racial conflict,Incendiary,19,Molotov Cocktail/Petrol Bomb,Four Molotov cocktails; Metal Grates thrown down shaft
34,1970,10,9,United States,North America,Texas,Houston,29.813822,-95.365295,,"10/9/1970: A splinter group of Ku Klux Klan claimed credit for blowing up a transmitter of radio station KPFT in Houston, Texas, United States.  KPFT radio gave a platform for people with Communist views.  There were no casualties but the station was knocked of the air.",,,1,0,Bombing/Explosion,,Telecommunication,Radio,KPFT - FM,KPFT transmitter,United States,Ku Klux Klan,,Intimidating/preventing KFPT from allowing Communists a network to share their views.,Explosives,28,Dynamite/TNT,Dynamite
35,1970,11,1,United States,North America,Pennsylvania,New Castle,41.001845,-80.34724,Outside of Rainbow Gardens Bar,"11/1/1970: African American Ronald Mitchell was killed in a drive-by shooting by suspected White Racists in New Castle, Pennsylvania, United States.  His death sparked violent race riots throughout the city.",2,Other Crime Type,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Black person,Ronald Mitchell,United States,White extremists,,Suspected motive was to intimidate the African American community of New Castle Pennsylvania.,Firearms,5,Unknown Gun Type,Drive-by shooting.
36,1970,11,8,United States,North America,Illinois,Cairo,37.005105,-89.176269,,"11/8/1970: Shortly after a lumber yard owned by Robert Cunningham, a former leader of a White vigilante group in Cairo, Illinois, United States, was set on fire, Wiley Anderson, an African American, was shot four times as he was walking in the Pyramid Court Housing Projects in Cairo.  Leaders of Cairo's African American community believed that Anderson was shot by White snipers firing indiscriminately into the predominantly Black housing projects.  Anderson died from his wounds two weeks later.",2,Other Crime Type,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,African Americans,African Americans walking in the Pyramid Court Housing Project in Cairo Illinois,United States,White extremists,,To kill African Americans,Firearms,5,Unknown Gun Type,
37,1971,1,1,United States,North America,North Carolina,Mount Gilead,35.214905,-80.001234,,"1/1/1971: The Mount Gilead, North Carolina, United States garage of William Chambers, the father of civil rights attorney Julius Chambers, was suspected to have been destroyed by arson.  There were no casualties  but the damages to building were estimated to be $11,000.",,,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Laborer (General)/Occupation Identified,Garage of the father of a civil rights attorney,The garage of William Chambers,United States,White extremists,,To intimidate Julius Chambers from representing causes of the civil rights movement.,Incendiary,18,Arson/Fire,
38,1971,2,4,United States,North America,North Carolina,Charlotte,35.2225,-80.837539,,"2/4/1971: The Charlotte, North Carolina, United States law offices of civil rights attorney Julius Chambers were destroyed by arson.  There were no casualties in the attack.",,,1,0,Facility/Infrastructure Attack,,Government (General),Judge/Attorney/Court,Civil Rights Office,Law Firm of Julius Chambers,United States,White extremists,,To intimidate Julius Chambers from representing causes of the civil rights movement.,Incendiary,18,Arson/Fire,Investigators believed that the fire was set by a chemical.
39,1971,2,10,United States,North America,Ohio,Akron,41.084195,-81.514059,Placed on front porch,"2/10/1971: Charles Lawrence, a member of a Neo-Nazi group, placed a dynamite bomb at the home of Ben Maidenburg in Akron, Ohio, United States.  Maidenburg was the publisher of the Akron Beacon Journal.  The bomb was discovered and subsequently removed.",,,0,0,Bombing/Explosion,,Private Citizens & Property,Named Civilian,Newspaper publisher,Home of Ben Maidenburg,United States,Neo-Nazi extremists,,To protest the reporting of the Akron Beacon Journal,Explosives,28,Dynamite/TNT,Four sticks of dynamite connected to a clock
40,1971,3,11,United States,North America,Texas,Houston,29.813822,-95.365295,,"3/11/1973: Members of the Ku Klux Klan were suspected of bombing the Socialist Worker Party headquarters in Houston, Texas, United States.  There were no casualties but the building sustained around $2,500 in damages.",,,1,0,Bombing/Explosion,,Private Citizens & Property,Political Party Member/Rally,Socialist Worker Party,Harris County headquarters of the Socialist Workers Party,United States,Ku Klux Klan,,,Explosives,16,Unknown Explosive Type,
41,1971,4,3,United States,North America,Michigan,Ypsilanti,42.24088,-83.613089,Lover's Lane road between Plymouth and Ypsilanti Michigan,"4/3/1971: Dr. R. Wiley Brownlee, high school principle and promoter of racial coexistence was struck down and kidnapped by members of the Ku Klux Klan in Ypsilanti, Michigan, United States.  Dr. Brownlee was released later in the night but not before he was tarred and feathered.",,,1,0,Hostage Taking (Kidnapping),,Private Citizens & Property,Named Civilian,Promoter of racial harmony,Dr. R. Wiley Brown,United States,Ku Klux Klan,,Intimidate people who promote racial harmony,Firearms,4,Rifle/Shotgun (non-automatic),The shotguns were not fired.  The target was struck down either with the shotgun or by fist.
42,1971,8,23,United States,North America,New York,New York City,40.697132,-73.931351,Manhattan,"8/23/1971: Unknown perpetrators placed a pipe bomb in the main lobby of Yeshiva University in Manhattan, New York, United States.  The bomb was discovered and disarmed three minutes before it was set to detonate.",2,Other Crime Type,0,0,Bombing/Explosion,,Educational Institution,School/University/Educational Building,Yeshiva University,"Main lobby of Yeshiva University Building, Manhattan New York",United States,White extremists,,,Explosives,14,Time Fuse,Pipe bomb with timing device
43,1971,8,30,United States,North America,Michigan,Pontiac,42.636876,-83.288425,Board of Education Maintenance Building,"8/30/1971: Ten school buses, that would have been used to transport African American students as part of a court-ordered integration plan, were blown up in Pontiac, Michigan, United States.  Five members of the Ku Klux Klan were convicted of the attack.",,,1,0,Bombing/Explosion,,Transportation,Bus (excluding tourists),School buses intended to be used for school integration.,School buses of Pontiac Michigan,United States,Ku Klux Klan,,To prevent school desegregation.,Explosives,28,Dynamite/TNT,Dynamite
44,1971,9,1,United States,North America,Georgia,Columbus,32.462925,-84.987629,Two classrooms in a vacant school,"9/1/1971: Unknown perpetrators detonated a dynamite bomb in two vacant classrooms of a desegregated school in Columbus, Georgia, United States.  There were no casualties.",,,1,0,Bombing/Explosion,,Educational Institution,School/University/Educational Building,Desegregated school,,United States,White extremists,,To protest/prevent school integration.,Explosives,28,Dynamite/TNT,Dynamite
45,1971,9,2,United States,North America,North Carolina,Kannapolis,35.487474,-80.622003,,"9/2/1971: Unknown perpetrators threw eight firebombs into the recently desegregated George Washington Carver Elementary School in Kannapolis, North Carolina, United States.  There were no casualties and the school sustained only minor damages.",,,1,0,Facility/Infrastructure Attack,,Educational Institution,School/University/Educational Building,Desegregated school,George Washington Carver Elementary School,United States,White extremists,,To protest/prevent school integration.,Incendiary,20,Gasoline or Alcohol,Eight gasoline filled beer bottles with burning wicks were used in the attack.
46,1971,11,12,United States,North America,Oklahoma,Norman,35.205894,-97.445714,Oklahoma University,"11/12/1971: Unknown perpetrators through a firebomb into University Administration Building at Oklahoma University in Norman, Oklahoma, United States.  The resulting fire caused minor damages and was quickly extinguished.",,,1,0,Facility/Infrastructure Attack,,Educational Institution,School/University/Educational Building,Oklahoma University,"University Administration Building, Oklahoma University",United States,White extremists,,This incident occurred during a period of intense racial conflict on the Oklahoma University campus,Incendiary,20,Gasoline or Alcohol,Kerosene filled wine bottles
47,1971,11,17,United States,North America,Oklahoma,Norman,35.205894,-97.445714,Oklahoma University,"11/17/1971: Unknown perpetrators fired a shot into the Black People's Union at Oklahoma University in Norman, Oklahoma, United States.  There were no casualties but a window was shattered.",,,1,0,Armed Assault,,Educational Institution,School/University/Educational Building,Black People's Union,"Black People's Union, Oklahoma University",United States,White extremists,,To intimidate African Americans on the Oklahoma University campus,Firearms,5,Unknown Gun Type,.22 caliber slug
48,1971,11,17,United States,North America,Oklahoma,Norman,35.205894,-97.445714,Oklahoma University,"11/17/1971: Unknown perpetrators set fire to four buildings on the Oklahoma University campus in Norman, Oklahoma, United States.  Two other incendiary devices failed to ignite.  The Bizel Memorial Library was also vandalized.  In total, twenty-seven people were injured and the buildings sustained an estimated $200,000 in damages.",,,1,0,Facility/Infrastructure Attack,,Educational Institution,School/University/Educational Building,Oklahoma University,"Storage building, Walker Tower, Wilson Center Cafeteria, Building 8, Microbiology building, and the Bizel Memorial Library at Oklahoma University",United States,White extremists,,This incident occurred during a period of intense racial conflict on the Oklahoma University campus,Incendiary,20,Gasoline or Alcohol,Explosive wick incendiary devices taped to doors of building.  Library cards dumped on the floor and soaked with glue and molasses.
49,1972,2,1,United States,North America,Mississippi,Jackson,32.302091,-90.185366,,"2/1/1972: Unknown perpetrators bombed Central High School in Jackson, Mississippi, United States.  There were no casualties but a cabinet was destroyed resulting in an estimated $100 in damages.",2,Other Crime Type,1,0,Bombing/Explosion,,Educational Institution,School/University/Educational Building,Integrated High School,"Central High School, Jackson Mississippi",United States,White extremists,,,Explosives,17,Other Explosive Type,Small homemade bomb
50,1973,9,26,United States,North America,Louisiana,New Orleans,29.951027,-90.071422,Interstate 10 on the way into New Orleans,"09/26/1973: Byron de la Beckwith was arrested on Interstate 10 on his way into New Orleans in the United States, for transporting a ticking bomb, which was allegedly meant to kill the regional director of the Anti-Defamation League , A.I. Botnick.  Allegedly, Beckwith was headed for Botnick's house at the time he was stopped at a roadblock by police.",,,0,0,Bombing/Explosion,,Private Citizens & Property,Laborer (General)/Occupation Identified,"Regional Director of the Anti-Defamation League, A.I. Botnick","home of Regional Director of the Anti-Defamation League, A.I. Botnick",United States,White extremists,,"Allegedly to kill the regional director of the Anti-Defamation League , A.I. Botnick",Explosives,14,Time Fuse,
51,1973,11,26,United States,North America,Alabama,Gadsden,33.996195,-85.978282,"1445 East Broad Street, in East Gadsden, the home of the victim, Rev. Edward Pace","11/26/1973: Black minister, Edward Pace, is shot and killed in his home in Gadsden, Alabama, in the Untied States, by alleged members of the Ku Klux Klan.",,,1,0,Assassination,,Private Citizens & Property,Race/Ethnicity Identified,Black minister,Reverend Edward Pace,United States,Ku Klux Klan,,"The suspected motive for this incident is that the minister was assassinated because he moved into a neighborhood in which blacks and whites were residing together, and he bought his home from whites.  Additionally, sources note that Pace and his family had been receiving threats since they moved to the neighborhood.",Firearms,4,Rifle/Shotgun (non-automatic),30-caliber rifle
52,1975,8,16,United States,North America,California,El Monte,34.06857,-118.027606,,,3,Intra/Inter-group Conflict,1,0,Assassination,,Violent Political Party,Party Official/Candidate/Other Personnel,American Nazi Party (ANP),Former Head: Joseph Tommassi,United States,Neo-Nazi extremists,,,Unknown,,,
53,1975,9,19,United States,North America,Ohio,Dayton,39.759881,-84.189983,118 West Third St.,"9/19/1975: Neal Long, armed with a shotgun, shot and killed desegregation planner Dr. Charles Glatt at the old federal building in Dayton, Ohio, in the United States.  Long was detained immediately after the shooting.",,,1,0,Assassination,,Private Citizens & Property,Named Civilian,Desegregation leader,Dr. Charles Glatt,United States,White extremists,,To protest and prevent the desegregation of the Dayton school system,Firearms,4,Rifle/Shotgun (non-automatic),shotgun
